2012-09-16,47
2012-09-23,45
2012-09-30,46
2012-10-07,42
2012-10-14,43
2012-10-21,44
2012-10-28,39
2012-11-04,51
2012-11-11,46
2012-11-18,39
2012-11-25,46
2012-12-02,46
2012-12-09,44
2012-12-16,42
2012-12-23,40
2012-12-30,50
2013-01-06,49
2013-01-13,52
2013-01-20,51
2013-01-27,56
2013-02-03,53
2013-02-10,53
2013-02-17,52
2013-02-24,53
2013-03-03,56
2013-03-10,52
2013-03-17,50
2013-03-24,46
2013-03-31,47
2013-04-07,48
2013-04-14,46
2013-04-21,47
2013-04-28,48
2013-05-05,48
2013-05-12,49
2013-05-19,46
2013-05-26,44
2013-06-02,42
2013-06-09,40
2013-06-16,38
2013-06-23,39
2013-06-30,35
2013-07-07,40
2013-07-14,42
2013-07-21,42
2013-07-28,43
2013-08-04,43
2013-08-11,41
2013-08-18,40
2013-08-25,38
2013-09-01,38
2013-09-08,43
2013-09-15,55
2013-09-22,65
2013-09-29,60
2013-10-06,54
2013-10-13,57
2013-10-20,56
2013-10-27,53
2013-11-03,59
2013-11-10,56
2013-11-17,56
2013-11-24,44
2013-12-01,50
2013-12-08,49
2013-12-15,50
2013-12-22,52
2013-12-29,61
2014-01-05,70
2014-01-12,67
2014-01-19,62
2014-01-26,66
2014-02-02,66
2014-02-09,64
2014-02-16,63
2014-02-23,70
2014-03-02,69
2014-03-09,64
2014-03-16,62
2014-03-23,60
2014-03-30,59
2014-04-06,57
2014-04-13,52
2014-04-20,52
2014-04-27,50
2014-05-04,49
2014-05-11,46
2014-05-18,44
2014-05-25,41
2014-06-01,44
2014-06-08,45
2014-06-15,41
2014-06-22,42
2014-06-29,40
2014-07-06,42
2014-07-13,43
2014-07-20,44
2014-07-27,43
2014-08-03,41
2014-08-10,38
2014-08-17,42
2014-08-24,41
2014-08-31,41
2014-09-07,47
2014-09-14,52
2014-09-21,51
2014-09-28,51
2014-10-05,52
2014-10-12,59
2014-10-19,53
2014-10-26,52
2014-11-02,54
2014-11-09,51
2014-11-16,51
2014-11-23,45
2014-11-30,55
2014-12-07,53
2014-12-14,67
2014-12-21,53
2014-12-28,55
2015-01-04,64
2015-01-11,58
2015-01-18,55
2015-01-25,59
2015-02-01,58
2015-02-08,60
2015-02-15,54
2015-02-22,59
2015-03-01,57
2015-03-08,55
2015-03-15,54
2015-03-22,52
2015-03-29,49
2015-04-05,50
2015-04-12,54
2015-04-19,55
2015-04-26,49
2015-05-03,47
2015-05-10,47
2015-05-17,45
2015-05-24,40
2015-05-31,42
2015-06-07,41
2015-06-14,39
2015-06-21,42
2015-06-28,46
2015-07-05,50
2015-07-12,44
2015-07-19,49
2015-07-26,47
2015-08-02,46
2015-08-09,47
2015-08-16,52
2015-08-23,88
2015-08-30,57
2015-09-06,46
2015-09-13,48
2015-09-20,48
2015-09-27,49
2015-10-04,50
2015-10-11,48
2015-10-18,52
2015-10-25,51
2015-11-01,50
2015-11-08,48
2015-11-15,50
2015-11-22,39
2015-11-29,48
2015-12-06,48
2015-12-13,50
2015-12-20,42
2015-12-27,45
2016-01-03,63
2016-01-10,61
2016-01-17,63
2016-01-24,59
2016-01-31,57
2016-02-07,60
2016-02-14,53
2016-02-21,53
2016-02-28,55
2016-03-06,55
2016-03-13,52
2016-03-20,48
2016-03-27,50
2016-04-03,52
2016-04-10,54
2016-04-17,54
2016-04-24,52
2016-05-01,49
2016-05-08,48
2016-05-15,46
2016-05-22,42
2016-05-29,39
2016-06-05,43
2016-06-12,41
2016-06-19,58
2016-06-26,55
2016-07-03,42
2016-07-10,53
2016-07-17,47
2016-07-24,46
2016-07-31,44
2016-08-07,41
2016-08-14,40
2016-08-21,40
2016-08-28,40
2016-09-04,41
2016-09-11,44
2016-09-18,45
2016-09-25,46
2016-10-02,47
2016-10-09,44
2016-10-16,47
2016-10-23,49
2016-10-30,47
2016-11-06,100
2016-11-13,66
2016-11-20,53
2016-11-27,60
2016-12-04,63
2016-12-11,61
2016-12-18,55
2016-12-25,55
2017-01-01,65
2017-01-08,70
2017-01-15,66
2017-01-22,76
2017-01-29,79
2017-02-05,73
2017-02-12,73
2017-02-19,67
2017-02-26,79
2017-03-05,71
2017-03-12,62
2017-03-19,62
2017-03-26,62
2017-04-02,60
2017-04-09,62
2017-04-16,59
2017-04-23,61
2017-04-30,59
2017-05-07,59
2017-05-14,56
2017-05-21,56
2017-05-28,52
2017-06-04,58
2017-06-11,55
2017-06-18,58
2017-06-25,56
2017-07-02,51
2017-07-09,55
2017-07-16,55
2017-07-23,57
2017-07-30,58
2017-08-06,57
2017-08-13,53
2017-08-20,48
2017-08-27,51
2017-09-03,50
